"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"2310";203;"direct";"23ovhx752x";"CS";"1";100;"3679.9900000041816";"1_3/CS5"
"2311";204;"direct";"23ovhx752x";"CS";"3";100;"3361.384999996517";"3_3/CS3"
"2312";205;"direct";"23ovhx752x";"CS";"2";64;"9764.265000005253";"2_3/CS5"
"2313";206;"direct";"23ovhx752x";"CS";"3";100;"3983.284999994794";"3_3/CS8"
"2314";207;"direct";"23ovhx752x";"CS";"4";100;"4204.574999996112";"4_3/CS8"
"2315";208;"direct";"23ovhx752x";"CS";"4";99;"3198.8649999984773";"4_3/CS1"
"2316";209;"direct";"23ovhx752x";"CS";"3";-100;"3699.5849999948405";"3_3/CS1"
"2317";210;"direct";"23ovhx752x";"CS";"3";100;"5907.489999997779";"3_3/CS7"
"2318";211;"direct";"23ovhx752x";"CS";"1";100;"3751.154999990831";"1_3/CS10"
"2319";212;"direct";"23ovhx752x";"CS";"2";100;"3912.369999990915";"2_3/CS7"
"2320";213;"direct";"23ovhx752x";"CS";"2";100;"3156.8849999894155";"2_3/CS6"
"2321";214;"direct";"23ovhx752x";"CS";"2";100;"3470.6199999927776";"2_3/CS1"
"2633";175;"direct";"25xs5p6ax2";"CS";"1";26;"8108.514999999898";"1_3/CS6"
"2634";176;"direct";"25xs5p6ax2";"CS";"4";-8;"8076.114999999758";"4_3/CS9"
"2635";177;"direct";"25xs5p6ax2";"CS";"1";-38;"4900.37999999919";"1_3/CS11"
"2636";178;"direct";"25xs5p6ax2";"CS";"3";20;"5053.915000000503";"3_3/CS8"
"2637";179;"direct";"25xs5p6ax2";"CS";"3";-26;"4852.170000002021";"3_3/CS5"
"2638";180;"direct";"25xs5p6ax2";"CS";"4";-38;"3636.3349999992643";"4_3/CS7"
"2639";181;"direct";"25xs5p6ax2";"CS";"1";4;"7798.105000001611";"1_3/CS5"
"2640";182;"direct";"25xs5p6ax2";"CS";"4";-35;"2860.160000000149";"4_3/CS5"
"2641";183;"direct";"25xs5p6ax2";"CS";"2";-27;"3452.7500000004657";"2_3/CS9"
"2642";184;"direct";"25xs5p6ax2";"CS";"4";13;"6421.640000000363";"4_3/CS12"
